SIGNAL2,B,C
387.8,0.01202,4822
388,0.01204,5164
388.2,0.01202,4968
388.4,0.01202,5058
388.6,0.01203,5036
388.8,0.01205,4876
389,0.01204,5026
389.2,0.01201,4890
389.4,0.01201,5040
389.6,0.01206,4954
389.8,0.01203,4962
390,0.01204,5094
390.2,0.01204,5200
390.4,0.01202,5032
390.6,0.01202,5148
390.8,0.01203,4876
391,0.01203,5146
391.2,0.01203,5378
391.4,0.01204,5322
391.6,0.01202,5362
391.8,0.01202,5224
392,0.012,5104
392.2,0.01203,5234
392.4,0.01203,5320
392.6,0.01203,5408
392.8,0.01203,5216
393,0.01205,5198
393.2,0.01203,5280
393.4,0.01201,5300
393.6,0.01202,5382
393.8,0.01204,5186
394,0.01203,5508
394.2,0.01201,5310
394.4,0.01202,5294
394.6,0.01201,5426
394.8,0.01201,5290
395,0.012,5276
395.2,0.012,5606
395.4,0.01203,5530
395.6,0.01202,5602
395.8,0.01201,5412
396,0.012,5462
396.2,0.012,5306
396.4,0.01201,5616
396.6,0.01202,5566
396.8,0.01201,5582
397,0.01202,5612
397.2,0.01202,5572
397.4,0.01201,5468
397.6,0.01201,5618
397.8,0.01204,5780
398,0.01205,5784
398.2,0.01203,5768
398.4,0.01203,5954
398.6,0.01203,5620
398.8,0.01201,5856
399,0.01204,5732
399.2,0.01202,5830
399.4,0.01201,5948
399.6,0.01203,5790
399.8,0.01201,5864
400,0.01203,5786
400.2,0.01203,5828
400.4,0.01199,5888
400.6,0.01201,5720
400.8,0.01202,5848
401,0.01201,5928
401.2,0.01201,5892
401.4,0.01205,5872
401.6,0.01203,5972
401.8,0.01202,5832
402,0.01204,6026
402.2,0.01205,5988
402.4,0.01201,6036
402.6,0.01203,6024
402.8,0.01199,5916
403,0.01203,5812
403.2,0.01202,6052
403.4,0.01202,5778
403.6,0.01201,6102
403.8,0.01202,5928
404,0.01203,6038
404.2,0.012,6028
404.4,0.01201,6020
404.6,0.01202,6208
404.8,0.01199,6234
405,0.01198,6142
405.2,0.01201,6068
405.4,0.012,6122
405.6,0.01203,6084
405.8,0.01203,6044
406,0.01202,6238
406.2,0.01203,6182
406.4,0.01204,6330
406.6,0.01204,6278
406.8,0.01201,6008
407,0.01204,5940
407.2,0.01203,6186
407.4,0.012,6272
407.6,0.01204,6102
